	organism	tem
2873	Listeria monocytogenes serotype 1/2a str. 10-0812	['30', '37', '25', '37']
2874	Listeria monocytogenes serotype 1/2a str. 10-0813	['30', '37', '25', '37']
2875	Listeria monocytogenes serotype 1/2a str. 10-0814	['30', '37', '25', '37']
2876	Listeria monocytogenes serotype 1/2a str. 10-0815	['30', '37', '25', '37']
2877	Listeria monocytogenes serotype 1/2a str. 10-0933	['30', '37', '25', '37']
2878	Listeria monocytogenes serotype 1/2a str. 10-0934	['30', '37', '25', '37']
2879	Listeria monocytogenes serotype 1/2a str. 10-1046	['30', '37', '25', '37']
2880	Listeria monocytogenes serotype 1/2a str. 10-1047	['30', '37', '25', '37']
2881	Listeria monocytogenes serotype 1/2a str. 10-1321	['30', '37', '25', '37']
2882	Listeria monocytogenes serotype 1/2a str. 10-4754	['30', '37', '25', '37']
2883	Listeria monocytogenes serotype 1/2a str. 10-4758	['30', '37', '25', '37']
2884	Listeria monocytogenes serotype 1/2a str. 10-5024	['30', '37', '25', '37']
2885	Listeria monocytogenes serotype 1/2a str. 88-0478	['30', '37', '25', '37']
2886	Listeria monocytogenes serotype 1/2a str. 95-0093	['30', '37', '25', '37']
2887	Listeria monocytogenes serotype 1/2a str. 98-2035	['30', '37', '25', '37']
2888	Listeria monocytogenes serotype 1/2a str. 99-6370	['30', '37', '25', '37']
2889	Listeria monocytogenes serotype 1/2b str. 10-0810	['30', '37', '25', '37']
2890	Listeria monocytogenes serotype 1/2b str. 10-0811	['30', '37', '25', '37']
2891	Listeria monocytogenes serotype 1/2c str. 10-5025	['30', '37', '25', '37']
2892	Listeria monocytogenes serotype 1/2c str. 10-5026	['30', '37', '25', '37']
2893	Listeria monocytogenes serotype 3c str. 10-5027	['30', '37', '25', '37']
2894	Listeria monocytogenes serotype 4b str. 02-1103	['30', '37', '25', '37']
2895	Listeria monocytogenes serotype 4b str. 02-1289	['30', '37', '25', '37']
2896	Listeria monocytogenes serotype 4b str. 02-1792	['30', '37', '25', '37']
2897	Listeria monocytogenes serotype 4b str. 02-6679	['30', '37', '25', '37']
2898	Listeria monocytogenes serotype 4b str. 02-6680	['30', '37', '25', '37']
2899	Listeria monocytogenes serotype 4b str. 10-0809	['30', '37', '25', '37']
2900	Listeria monocytogenes serotype 4b str. 81-0558	['30', '37', '25', '37']
2901	Listeria monocytogenes serotype 4b str. 81-0592	['30', '37', '25', '37']
2902	Listeria monocytogenes serotype 4b str. 81-0861	['30', '37', '25', '37']
2903	Listeria monocytogenes serotype 4b str. CLIP 80459	['30', '37', '25', '37']
2904	Listeria monocytogenes serotype 4b str. F2365	['30', '37', '25', '37']
2905	Listeria monocytogenes serotype 4b str. LL195	['30', '37', '25', '37']
2906	Listeria monocytogenes SLCC2372	['30', '37', '25', '37']
2907	Listeria monocytogenes SLCC2376	['30', '37', '25', '37']
2908	Listeria monocytogenes SLCC2378	['30', '37', '25', '37']
2909	Listeria monocytogenes SLCC2479	['30', '37', '25', '37']
2910	Listeria monocytogenes SLCC2540	['30', '37', '25', '37']
2911	Listeria monocytogenes SLCC2755	['30', '37', '25', '37']
2912	Listeria monocytogenes SLCC5850	['30', '37', '25', '37']
2913	Listeria monocytogenes SLCC7179	['30', '37', '25', '37']
2914	Listeria monocytogenes WSLC1001	['30', '37', '25', '37']
2915	Listeria monocytogenes WSLC1042	['30', '37', '25', '37']
2916	Listeria seeligeri serovar 1/2b str. SLCC3954	0
2917	Listeria welshimeri	0
2918	Listeria welshimeri serovar 6b str. SLCC5334	0
2919	Loktanella vestfoldensis	404ERROR
2920	Luteibacter rhizovicinus DSM 16549	0
2921	Luteimonas sp. 100111	404ERROR
2922	Luteipulveratus mongoliensis	0
2923	Lutibacter profundi	404ERROR
2924	Lutibacter sp. LPB0138	404ERROR
2925	Lysinibacillus fusiformis	0
2926	Lysinibacillus sp. 2017	404ERROR
2927	Lysinibacillus sphaericus	0
2928	Lysinibacillus sp. YS11	404ERROR
2929	Lysinibacillus varians	404ERROR
2930	Lysobacter antibioticus	404ERROR
2931	Lysobacter capsici	404ERROR
2932	Lysobacter enzymogenes	0
2933	Lysobacter gummosus	0
2934	Macrococcus canis	0
2935	Macrococcus caseolyticus	404ERROR
2936	Macrococcus caseolyticus JCSC5402	404ERROR
2937	Macrococcus sp. IME1552	404ERROR
2938	Mageeibacillus indolicus UPII9-5	404ERROR
2939	Magnetococcus marinus MC-1	0
2940	Magnetospira sp. QH-2	404ERROR
2941	Magnetospirillum gryphiswaldense	404ERROR
2942	Magnetospirillum gryphiswaldense MSR-1	404ERROR
2943	Magnetospirillum gryphiswaldense MSR-1 v2	404ERROR
2944	Magnetospirillum magneticum AMB-1	404ERROR
2945	Magnetospirillum sp. ME-1	404ERROR
2946	Magnetospirillum sp. XM-1	404ERROR
2947	Mahella australiensis 50-1 BON	404ERROR
2948	Maize bushy stunt phytoplasma	404ERROR
2949	Mannheimia haemolytica	404ERROR
2950	Mannheimia haemolytica D153	404ERROR
2951	Mannheimia haemolytica D171	404ERROR
2952	Mannheimia haemolytica D174	404ERROR
2953	Mannheimia haemolytica M42548	404ERROR
2954	Mannheimia haemolytica USDA-ARS-USMARC-183	404ERROR
2955	Mannheimia haemolytica USDA-ARS-USMARC-184	404ERROR
2956	Mannheimia haemolytica USDA-ARS-USMARC-185	404ERROR
2957	Mannheimia haemolytica USMARC_2286	404ERROR
2958	Mannheimia sp. USDA-ARS-USMARC-1261	404ERROR
2959	Mannheimia succiniciproducens MBEL55E	404ERROR
2960	Mannheimia varigena USDA-ARS-USMARC-1296	0
2961	Mannheimia varigena USDA-ARS-USMARC-1312	0
2962	Mannheimia varigena USDA-ARS-USMARC-1388	0
2963	Maribacter cobaltidurans	404ERROR
2964	Maribacter sp. 1_2014MBL_MicDiv	404ERROR
2965	Maribacter sp. HTCC2170	404ERROR
2966	Maribacter sp. T28	404ERROR
2967	Maricaulis maris MCS10	404ERROR
2968	Marichromatium purpuratum 984	404ERROR
2969	Marinifilaceae bacterium SPP2	404ERROR
2970	Marinilactibacillus sp. 15R	404ERROR
2971	Marinithermus hydrothermalis DSM 14884	404ERROR
2972	Marinitoga piezophila KA3	0
2973	Marinitoga sp. 1137	404ERROR
2974	Marinobacter adhaerens HP15	0
2975	Marinobacter hydrocarbonoclasticus ATCC 49840	0
2976	Marinobacter hydrocarbonoclasticus VT8	0
2977	Marinobacterium aestuarii	404ERROR
2978	Marinobacter psychrophilus	0
2979	Marinobacter salarius	0
2980	Marinobacter salinus	0
2981	Marinobacter similis	0
2982	Marinobacter sp. BSs20148	404ERROR
2983	Marinobacter sp. CP1	404ERROR
2984	Marinobacter sp. LQ44	404ERROR
2985	Marinomonas mediterranea MMB-1	0
2986	Marinomonas posidonica IVIA-Po-181	0
2987	Marinomonas sp. MWYL1	404ERROR
2988	Marinovum algicola DG 898	404ERROR
2989	Mariprofundus aestuarium	404ERROR
2990	Mariprofundus ferrinatatus	404ERROR
2991	Marivirga tractuosa DSM 4126	0
2992	Marivivens sp. JLT3646	404ERROR
2993	Martelella endophytica	0
2994	Martelella mediterranea DSM 17316	0
2995	Martelella sp. AD-3	404ERROR
2996	Massilia putida	0
2997	Massilia sp. B2	404ERROR
2998	Massilia sp. NR 4-1	404ERROR
2999	Massilia sp. ZMN-3	404ERROR
3000	Megamonas hypermegale	404ERROR
3001	Megasphaera elsdenii	404ERROR
3002	Megasphaera elsdenii 14-14	404ERROR
3003	Megasphaera elsdenii DSM 20460	404ERROR
3004	Meiothermus ruber DSM 1279	404ERROR
3005	Meiothermus silvanus DSM 9946	404ERROR
3006	Melaminivora sp. SC2-7	404ERROR
3007	Melaminivora sp. SC2-9	404ERROR
3008	Melioribacter roseus P3M-2	404ERROR
3009	Melissococcus plutonius DAT561	404ERROR
3010	Melissococcus plutonius S1	404ERROR
3011	Melittangium boletus DSM 14713	404ERROR
3012	Mesoplasma chauliocola	404ERROR
3013	Mesoplasma coleopterae	404ERROR
3014	Mesoplasma entomophilum	404ERROR
3015	Mesoplasma florum	404ERROR
3016	Mesoplasma florum L1	404ERROR
3017	Mesoplasma florum W37	404ERROR
3018	Mesoplasma lactucae ATCC 49193	404ERROR
3019	Mesoplasma syrphidae	404ERROR
3020	Mesoplasma tabanidae	404ERROR
3021	Mesorhizobium amorphae CCNWGS0123	0
3022	Mesorhizobium australicum WSM2073	0
3023	Mesorhizobium ciceri	0
3024	Mesorhizobium ciceri biovar biserrulae	0
3025	Mesorhizobium ciceri biovar biserrulae WSM1271	0
3026	Mesorhizobium loti MAFF303099	0
3027	Mesorhizobium loti NZP2037	0
3028	Mesorhizobium opportunistum WSM2075	0
3029	Mesorhizobium sp. B7	404ERROR
3030	Mesorhizobium sp. WSM1497	404ERROR
3031	Mesotoga prima MesG1.Ag.4.2	404ERROR
3032	Metallosphaera cuprina Ar-4	0
3033	Metallosphaera sedula	0
3034	Metallosphaera sedula DSM 5348	0
3035	Methanobacterium congolense	0
3036	Methanobacterium formicicum	0
3037	Methanobacterium lacus	404ERROR
3038	Methanobacterium paludis	404ERROR
3039	Methanobacterium sp. MB1	404ERROR
3040	Methanobacterium sp. MO-MB1	404ERROR
3041	Methanobacterium sp. MZ-A1	404ERROR
3042	Methanobacterium subterraneum	0
3043	Methanobrevibacter millerae	0
3044	Methanobrevibacter olleyae	0
3045	Methanobrevibacter ruminantium M1	0
3046	Methanobrevibacter smithii	0
3047	Methanobrevibacter smithii ATCC 35061	0
3048	Methanobrevibacter sp. AbM4	404ERROR
3049	Methanobrevibacter sp. YE315	404ERROR
3050	Methanocaldococcus bathoardescens	404ERROR
3051	Methanocaldococcus fervens AG86	0
3052	Methanocaldococcus infernus ME	0
3053	Methanocaldococcus jannaschii DSM 2661	0
3054	Methanocaldococcus sp. FS406-22	404ERROR
3055	Methanocaldococcus vulcanius M7	0
3056	Methanocella arvoryzae MRE50	0
3057	Methanocella conradii HZ254	0
3058	Methanococcoides burtonii DSM 6242	['23', '29', '23', '23', '23']
3059	Methanococcoides methylutens MM1	0
3060	Methanococcus aeolicus Nankai-3	0
3061	Methanococcus maripaludis	0
3062	Methanococcus maripaludis C5	0
3063	Methanococcus maripaludis C6	0
3064	Methanococcus maripaludis C7	0
3065	Methanococcus maripaludis S2	0
3066	Methanococcus maripaludis X1	0
3067	Methanococcus vannielii SB	0
3068	Methanococcus voltae A3	0
3069	Methanocorpusculum labreanum Z	['40']
3070	Methanoculleus bourgensis	0
3071	Methanoculleus bourgensis MS2	0
3072	Methanoculleus marisnigri JR1	0
3073	Methanoculleus sp. MAB1	404ERROR
3074	methanogenic archaeon ISO4-H5	404ERROR
3075	Methanohalobium evestigatum Z-7303	0
3076	Methanohalophilus halophilus	0
3077	Methanohalophilus mahii DSM 5219	0
3078	Methanolacinia petrolearia DSM 11571	404ERROR
3079	Methanolobus psychrophilus R15	404ERROR
3080	Methanomethylovorans hollandica DSM 15978	0
3081	Methanoregula boonei 6A8	0
3082	Methanoregula formicica SMSP	404ERROR
3083	Methanosaeta harundinacea 6Ac	0
3084	Methanosalsum zhilinae DSM 4017	0
3085	Methanosarcina acetivorans C2A	0
3086	Methanosarcina barkeri 227	0
3087	Methanosarcina barkeri 3	0
3088	Methanosarcina barkeri CM1	0
3089	Methanosarcina barkeri MS	0
3090	Methanosarcina barkeri str. Fusaro	0
3091	Methanosarcina barkeri str. Wiesmoor	0
3092	Methanosarcina horonobensis HB-1 = JCM 15518	['35', '55']
3093	Methanosarcina lacustris Z-7289	['35', '55']
3094	Methanosarcina mazei C16	['35', '55']
3095	Methanosarcina mazei Go1	['35', '55']
3096	Methanosarcina mazei LYC	['35', '55']
3097	Methanosarcina mazei S-6	['35', '55']
3098	Methanosarcina mazei SarPi	['35', '55']
3099	Methanosarcina mazei WWM610	['35', '55']
3100	Methanosarcina siciliae C2J	['35', '55']
3101	Methanosarcina siciliae T4/M	['35', '55']
3102	Methanosarcina sp. Kolksee	404ERROR
3103	Methanosarcina sp. MTP4	404ERROR
3104	Methanosarcina sp. WH1	404ERROR
3105	Methanosarcina sp. WWM596	404ERROR
3106	Methanosarcina thermophila TM-1	0
3107	Methanosarcina vacuolata Z-761	['35', '55']
3108	Methanosphaera stadtmanae DSM 3091	0
3109	Methanosphaerula palustris E1-9c	0
3110	Methanospirillum hungatei JF-1	0
3111	Methanothermobacter marburgensis str. Marburg	0
3112	Methanothermobacter sp. CaT2	404ERROR
3113	Methanothermobacter thermautotrophicus str. Delta H	['55', '65']
3114	Methanothermobacter wolfeii	['55', '65']
3115	Methanothermococcus okinawensis IH1	['65']
3116	Methanothermus fervidus DSM 2088	['97']
3117	Methanothrix soehngenii GP6	0
3118	Methanotorris igneus Kol 5	0
3119	Methylacidiphilum fumariolicum SolV	['50', '60']
3120	Methylacidiphilum infernorum V4	['60']
3121	Methylibium petroleiphilum PM1	0
3122	Methylobacillus flagellatus KT	0
3123	Methylobacterium aquaticum	0
3124	Methylobacterium extorquens	0
3125	Methylobacterium extorquens AM1	0
3126	Methylobacterium extorquens CM4	0
3127	Methylobacterium extorquens DM4	0
3128	Methylobacterium extorquens PA1	0
3129	Methylobacterium nodulans ORS 2060	0
3130	Methylobacterium oryzae CBMB20	0
3131	Methylobacterium phyllosphaerae	0
3132	Methylobacterium populi	0
3133	Methylobacterium populi BJ001	0
3134	Methylobacterium radiotolerans JCM 2831	0
3135	Methylobacterium sp. 4-46	404ERROR
3136	Methylobacterium sp. AMS5	404ERROR
3137	Methylobacterium sp. C1	404ERROR
3138	Methylobacterium sp. DM1	404ERROR
3139	Methylobacterium zatmanii	0
3140	Methyloceanibacter caenitepidi	404ERROR
3141	Methyloceanibacter sp. wino2	404ERROR
3142	Methylocella silvestris BL2	0
3143	Methylococcus capsulatus str. Bath	['50', '37']
3144	Methylocystis bryophila	0
3145	Methylocystis sp. SC2	404ERROR
3146	Methylomicrobium alcaliphilum 20Z	404ERROR
3147	Methylomonas denitrificans	404ERROR
3148	Methylomonas koyamae	404ERROR
3149	Methylomonas methanica MC09	0
3150	Methylomonas sp. DH-1	404ERROR
3151	Methylophaga frappieri	404ERROR
3152	Methylophaga nitratireducenticrescens	404ERROR
3153	Methylophilus sp. TWE2	404ERROR
3154	Methylosinus trichosporium OB3b	0
3155	Methylotenera mobilis JLW8	404ERROR
3156	Methylotenera versatilis 301	404ERROR
3157	Methyloversatilis sp. RAC08	404ERROR
3158	Methylovorus glucosetrophus SIP3-4	404ERROR
3159	Methylovorus sp. MP688	404ERROR
3160	Methylovulum psychrotolerans	404ERROR
3161	Micavibrio aeruginosavorus ARL-13	0
3162	Micavibrio aeruginosavorus EPB	0
3163	Microbacterium aurum	0
3164	Microbacterium chocolatum	0
3165	Microbacterium hominis	0
3166	Microbacterium paludicola	0
3167	Microbacterium sp. 1.5R	404ERROR
3168	Microbacterium sp. BH-3-3-3	404ERROR
3169	Microbacterium sp. CGR1	404ERROR
3170	Microbacterium sp. No. 7	404ERROR
3171	Microbacterium sp. PAMC 28756	404ERROR
3172	Microbacterium sp. str. 'China'	404ERROR
3173	Microbacterium sp. TPU 3598	404ERROR
3174	Microbacterium sp. XT11	404ERROR
3175	Microbacterium testaceum StLB037	404ERROR
3176	Microbulbifer agarilyticus	404ERROR
3177	Microbulbifer aggregans	404ERROR
3178	Microbulbifer sp. A4B17	404ERROR
3179	Microbulbifer thermotolerans	404ERROR
3180	Microcella alkaliphila	0
3181	Micrococcus luteus NCTC 2665	0
3182	Microcoleus sp. PCC 7113	404ERROR
3183	Microcystis aeruginosa NIES-2481	['32', '20', '28', '15']
3184	Microcystis aeruginosa NIES-2549	['32', '20', '28', '15']
3185	Microcystis aeruginosa NIES-843	['32', '20', '28', '15']
3186	Microcystis aeruginosa PCC 7806SL	['32', '20', '28', '15']
3187	Microcystis sp. MC19	404ERROR
3188	Microlunatus phosphovorus NM-1	0
3189	Micromonospora aurantiaca ATCC 27029	404ERROR
3190	Micromonospora sp. L5	404ERROR
3191	Micropruina glycogenica	0
3192	Microterricola viridarii	404ERROR
3193	Microvirga ossetica	0
3194	Miniimonas sp. S16	404ERROR
3195	Mitsuaria sp. 7	404ERROR
3196	Mobiluncus curtisii ATCC 43063	404ERROR
3197	Modestobacter marinus	404ERROR
3198	Mogibacterium diversum	0
3199	Moorea producens PAL-8-15-08-1	0
3200	Moorella thermoacetica	0
3201	Moorella thermoacetica ATCC 39073	0
3202	Moraxella bovoculi	0
3203	Moraxella catarrhalis	['37']
3204	Moraxella catarrhalis BBH18	['37']
3205	Moraxella osloensis	0
3206	Moraxella ovis	404ERROR
3207	Mordavella sp. Marseille-P3756	404ERROR
3208	Morganella morganii	['30']
3209	Morganella morganii subsp. morganii KT	['30']
3210	Moritella viscosa	404ERROR
3211	Mucilaginibacter gotjawali	0
3212	Mucilaginibacter sp. BJC16-A31	404ERROR
3213	Mucilaginibacter sp. PAMC 26640	404ERROR
3214	Mucinivorans hirudinis	404ERROR
3215	Murdochiella vaginalis	404ERROR
3216	Muricauda lutaonensis	0
3217	Muricauda ruestringensis DSM 13258	0
3218	Mycetocola sp. CGMCC 1.16372	404ERROR
3219	Mycobacterium abscessus	['28', '37', '43', '28', '37']
3220	Mycobacterium abscessus subsp. abscessus	['28', '37', '43', '28', '37']
3221	Mycobacterium abscessus subsp. bolletii	['28', '37', '43', '28', '37']
3222	Mycobacterium abscessus subsp. bolletii 103	['28', '37', '43', '28', '37']
3223	Mycobacterium abscessus subsp. bolletii 50594	['28', '37', '43', '28', '37']
3224	Mycobacterium abscessus subsp. massiliense	['28', '37', '43', '28', '37']
3225	Mycobacterium abscessus subsp. massiliense CCUG 48898 = JCM 15300	['28', '37', '43', '28', '37']
3226	Mycobacterium abscessus subsp. massiliense str. GO 06	['28', '37', '43', '28', '37']
3227	Mycobacterium abscessus UC22	['28', '37', '43', '28', '37']
3228	Mycobacterium africanum GM041182	0
3229	Mycobacterium aurum	0
3230	Mycobacterium avium	0
3231	Mycobacterium avium 104	0
3232	Mycobacterium avium subsp. avium	0
3233	Mycobacterium avium subsp. avium 2285 (R)	0
3234	Mycobacterium avium subsp. avium 2285 (S)	0
3235	Mycobacterium avium subsp. hominissuis	0
3236	Mycobacterium avium subsp. hominissuis TH135	0
3237	Mycobacterium avium subsp. paratuberculosis	0
3238	Mycobacterium avium subsp. paratuberculosis K-10	0
3239	Mycobacterium avium subsp. paratuberculosis MAP4	0
3240	Mycobacterium bovis	0
3241	Mycobacterium bovis AF2122/97	0
3242	Mycobacterium bovis BCG	0
3243	Mycobacterium bovis BCG str. ATCC 35743	0
3244	Mycobacterium bovis BCG str. Korea 1168P	0
3245	Mycobacterium bovis BCG str. Mexico	0
3246	Mycobacterium bovis BCG str. Moreau RDJ	0
3247	Mycobacterium bovis BCG str. Pasteur 1173P2	0
3248	Mycobacterium bovis BCG str. Tokyo 172	0
3249	Mycobacterium canettii CIPT 140010059	404ERROR
3250	Mycobacterium chelonae CCUG 47445	0
3251	Mycobacterium chimaera	0
3252	Mycobacterium chubuense NBB4	0
3253	Mycobacterium colombiense CECT 3035	0
3254	Mycobacterium dioxanotrophicus	404ERROR
3255	Mycobacterium fortuitum	['45']
3256	Mycobacterium gilvum PYR-GCK	['37', '45']
3257	Mycobacterium gilvum Spyr1	['37', '45']
3258	Mycobacterium goodii	['30', '35', '45']
3259	Mycobacterium haemophilum DSM 44634	['32', '25', '35', '37']
3260	Mycobacterium immunogenum	0
3261	Mycobacterium indicus pranii MTCC 9506	404ERROR
3262	Mycobacterium intracellulare	0
3263	Mycobacterium intracellulare 1956	0
3264	Mycobacterium intracellulare ATCC 13950	0
3265	Mycobacterium intracellulare MOTT-02	0
3266	Mycobacterium intracellulare subsp. yongonense 05-1390	0
3267	Mycobacterium kansasii 824	0
3268	Mycobacterium kansasii ATCC 12478	0
3269	Mycobacterium leprae Br4923	0
3270	Mycobacterium leprae TN	0
3271	Mycobacterium liflandii 128FXT	['28', '35']
3272	Mycobacterium litorale	404ERROR
3273	Mycobacterium marinum E11	['37', '33', '37']
3274	Mycobacterium marinum M	['37', '33', '37']
3275	Mycobacterium marseillense	404ERROR
3276	Mycobacterium neoaurum VKM Ac-1815D	0
3277	Mycobacterium paraintracellulare	404ERROR
3278	Mycobacterium phlei	['28', '52']
3279	Mycobacterium rhodesiae NBB3	0
3280	Mycobacterium saopaulense	404ERROR
3281	Mycobacterium shigaense	404ERROR
3282	Mycobacterium sinense	404ERROR
3283	Mycobacterium smegmatis	0
3284	Mycobacterium smegmatis str. MC2 155	0
3285	Mycobacterium sp. djl-10	['25', '50']
3286	Mycobacterium sp. EPa45	['25', '50']
3287	Mycobacterium sp. JLS	['25', '50']
3288	Mycobacterium sp. JS623	['25', '50']
3289	Mycobacterium sp. KMS	['25', '50']
3290	Mycobacterium sp. MCS	['25', '50']
3291	Mycobacterium sp. MOTT36Y	['25', '50']
3292	Mycobacterium sp. NRRL B-3805	['25', '50']
3293	Mycobacterium sp. PYR15	['25', '50']
3294	Mycobacterium sp. QIA-37	['25', '50']
3295	Mycobacterium sp. VKM Ac-1817D	['25', '50']
3296	Mycobacterium sp. WY10	['25', '50']
3297	Mycobacterium sp. YC-RL4	['25', '50']
3298	Mycobacterium stephanolepidis	404ERROR
3299	Mycobacterium terrae	0
3300	Mycobacterium thermoresistibile	0
3301	Mycobacterium tuberculosis	0
3302	Mycobacterium tuberculosis 49-02	0
3303	Mycobacterium tuberculosis 7199-99	0
3304	Mycobacterium tuberculosis BT1	0
3305	Mycobacterium tuberculosis BT2	0
3306	Mycobacterium tuberculosis CCDC5079	0
3307	Mycobacterium tuberculosis CCDC5180	0
3308	Mycobacterium tuberculosis CDC1551	0
3309	Mycobacterium tuberculosis CTRI-2	0
3310	Mycobacterium tuberculosis EAI5	0
3311	Mycobacterium tuberculosis EAI5/NITR206	0
3312	Mycobacterium tuberculosis F11	0
3313	Mycobacterium tuberculosis H37Ra	0
3314	Mycobacterium tuberculosis H37Rv	0
3315	Mycobacterium tuberculosis H37RvSiena	0
3316	Mycobacterium tuberculosis HKBS1	0
3317	Mycobacterium tuberculosis K	0
3318	Mycobacterium tuberculosis KZN 1435	0
3319	Mycobacterium tuberculosis KZN 4207	0
3320	Mycobacterium tuberculosis KZN 605	0
3321	Mycobacterium tuberculosis str. Beijing/NITR203	0
3322	Mycobacterium tuberculosis str. Erdman = ATCC 35801	0
3323	Mycobacterium tuberculosis str. Haarlem	0
3324	Mycobacterium tuberculosis str. Kurono	0
3325	Mycobacterium tuberculosis W-148	0
3326	Mycobacterium ulcerans Agy99	['33', '33']
3327	Mycobacterium ulcerans subsp. shinshuense	['33', '33']
3328	Mycobacterium vaccae 95051	0
3329	Mycobacterium vanbaalenii PYR-1	['37', '42']
3330	Mycobacterium yongonense	404ERROR
3331	Mycobacteroides abscessus	404ERROR
3332	Mycoplasma agalactiae	0
3333	Mycoplasma agalactiae PG2	0
3334	Mycoplasma arginini	404ERROR
3335	Mycoplasma arthritidis 158L3-1	404ERROR
3336	Mycoplasma bovigenitalium	404ERROR
3337	Mycoplasma bovirhinis	404ERROR
3338	Mycoplasma bovis	['40']
3339	Mycoplasma bovis CQ-W70	['40']
3340	Mycoplasma bovis HB0801	['40']
3341	Mycoplasma bovis Hubei-1	['40']
3342	Mycoplasma bovis PG45	['40']
3343	Mycoplasma bovoculi M165/69	404ERROR
3344	Mycoplasma californicum	404ERROR
3345	Mycoplasma californicum HAZ160_1	404ERROR
3346	Mycoplasma canadense	404ERROR
3347	Mycoplasma canis	404ERROR
3348	Mycoplasma canis PG 14	404ERROR
3349	Mycoplasma capricolum subsp. capricolum ATCC 27343	0
3350	Mycoplasma capricolum subsp. capripneumoniae	0
3351	Mycoplasma capricolum subsp. capripneumoniae 87001	0
3352	Mycoplasma capricolum subsp. capripneumoniae M1601	0
3353	Mycoplasma crocodyli MP145	404ERROR
3354	Mycoplasma cynos C142	404ERROR
3355	Mycoplasma dispar	404ERROR
3356	Mycoplasma fermentans JER	0
3357	Mycoplasma fermentans M64	0
3358	Mycoplasma flocculare ATCC 27399	404ERROR
3359	Mycoplasma gallisepticum CA06_2006.052-5-2P	0
3360	Mycoplasma gallisepticum NC06_2006.080-5-2P	0
3361	Mycoplasma gallisepticum NC08_2008.031-4-3P	0
3362	Mycoplasma gallisepticum NC95_13295-2-2P	0
3363	Mycoplasma gallisepticum NC96_1596-4-2P	0
3364	Mycoplasma gallisepticum NY01_2001.047-5-1P	0
3365	Mycoplasma gallisepticum S6	0
3366	Mycoplasma gallisepticum str. F	0
3367	Mycoplasma gallisepticum str. R(high)	0
3368	Mycoplasma gallisepticum str. R(low)	0
3369	Mycoplasma gallisepticum VA94_7994-1-7P	0
3370	Mycoplasma gallisepticum WI01_2001.043-13-2P	0
3371	Mycoplasma genitalium G37	0
3372	Mycoplasma genitalium M2288	0
3373	Mycoplasma genitalium M2321	0
3374	Mycoplasma genitalium M6282	0
3375	Mycoplasma genitalium M6320	0
3376	Mycoplasma haemocanis str. Illinois	404ERROR
3377	Mycoplasma haemofelis str. Langford 1	0
3378	Mycoplasma hominis	0
3379	Mycoplasma hominis ATCC 23114	0
3380	Mycoplasma hominis ATCC 27545	0
3381	Mycoplasma hyopneumoniae	0
3382	Mycoplasma hyopneumoniae 168	0
3383	Mycoplasma hyopneumoniae 168-L	0
3384	Mycoplasma hyopneumoniae 232	0
3385	Mycoplasma hyopneumoniae 7422	0
3386	Mycoplasma hyopneumoniae 7448	0
3387	Mycoplasma hyopneumoniae J	0
3388	Mycoplasma hyorhinis	0
3389	Mycoplasma hyorhinis DBS 1050	0
3390	Mycoplasma hyorhinis GDL-1	0
3391	Mycoplasma hyorhinis HUB-1	0
3392	Mycoplasma hyorhinis MCLD	0
3393	Mycoplasma hyorhinis SK76	0
3394	Mycoplasma leachii PG50	404ERROR
3395	Mycoplasma mobile 163K	0
3396	Mycoplasma mycoides subsp. capri	0
3397	Mycoplasma mycoides subsp. capri LC str. 95010	0
3398	Mycoplasma mycoides subsp. capri str. GM12	0
3399	Mycoplasma mycoides subsp. mycoides	0
3400	Mycoplasma mycoides subsp. mycoides SC str. Gladysdale	0
3401	Mycoplasma mycoides subsp. mycoides SC str. PG1	0
3402	Mycoplasma ovis str. Michigan	404ERROR
3403	Mycoplasma parvum str. Indiana	404ERROR
3404	Mycoplasma penetrans HF-2	0
3405	Mycoplasma pneumoniae	0
3406	Mycoplasma pneumoniae 19294	0
3407	Mycoplasma pneumoniae 309	0
3408	Mycoplasma pneumoniae 39443	0
3409	Mycoplasma pneumoniae 51494	0
3410	Mycoplasma pneumoniae 54089	0
3411	Mycoplasma pneumoniae 54524	0
3412	Mycoplasma pneumoniae 85084	0
3413	Mycoplasma pneumoniae 85138	0
3414	Mycoplasma pneumoniae FH	0
3415	Mycoplasma pneumoniae M1139	0
3416	Mycoplasma pneumoniae M129	0
3417	Mycoplasma pneumoniae M129-B7	0
3418	Mycoplasma pneumoniae M2592	0
3419	Mycoplasma pneumoniae M29	0
3420	Mycoplasma pneumoniae MAC	0
3421	Mycoplasma pneumoniae PI 1428	0
3422	Mycoplasma pneumoniae PO1	0
3423	Mycoplasma pullorum	404ERROR
3424	Mycoplasma pulmonis UAB CTIP	404ERROR
3425	Mycoplasma putrefaciens KS1	404ERROR
3426	Mycoplasma putrefaciens Mput9231	404ERROR
3427	Mycoplasma sp. (ex Biomphalaria glabrata)	404ERROR
3428	Mycoplasma suis KI3806	404ERROR
3429	Mycoplasma suis str. Illinois	404ERROR
3430	Mycoplasma synoviae 53	0
3431	Mycoplasma synoviae ATCC 25204	0
3432	Mycoplasma wenyonii str. Massachusetts	404ERROR
3433	Mycoplasma yeatsii GM274B	404ERROR
3434	Myroides odoratimimus	0
3435	Myroides profundi	404ERROR
3436	Myroides sp. A21	404ERROR
